# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCB4	ENSG00000005471	ENST00000265723	protein_coding	1	2	3	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	1	0	0	1	0	0	0	0	0	1	0
ABCB4	ENSG00000005471	ENST00000358400	protein_coding	1	1	3	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0
ABCB4	ENSG00000005471	ENST00000359206	protein_coding	1	2	3	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	1	0	0	1	0	0	0	0	0	1	0
ABCB4	ENSG00000005471	ENST00000417608	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	ENSG00000005471	ENST00000440025	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB4	ENSG00000005471	ENST00000453593	protein_coding	1	2	3	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	1	0	0	1	0	0	0	0	0	1	0
ABCB4	ENSG00000005471	ENST00000467079	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	ENSG00000005471	ENST00000467983	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	ENSG00000005471	ENST00000469770	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	ENSG00000005471	ENST00000473795	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	ENSG00000005471	ENST00000545634	protein_coding	1	1	3	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0
ABCC1	ENSG00000103222	ENST00000345148	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	2	0
ABCC1	ENSG00000103222	ENST00000346370	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	2	0
ABCC1	ENSG00000103222	ENST00000349029	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	2	0
ABCC1	ENSG00000103222	ENST00000351154	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	2	0
ABCC1	ENSG00000103222	ENST00000399408	protein_coding	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	0	0	0	0	2	0
ABCC1	ENSG00000103222	ENST00000399410	protein_coding	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	0	0	0	0	2	0
ABCC1	ENSG00000103222	ENST00000572053	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSG00000103222	ENST00000572882	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1
ABCC1	ENSG00000103222	ENST00000574761	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSG00000103222	ENST00000575422	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC1	ENSG00000103222	ENST00000576557	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	ENSG00000023839	ENST00000370434	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	ENSG00000023839	ENST00000370449	protein_coding	1	4	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0
ABCC2	ENSG00000023839	ENST00000496621	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000340588	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000343687	protein_coding	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ABCG1	ENSG00000160179	ENST00000347800	protein_coding	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000361802	protein_coding	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398437	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398449	protein_coding	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398457	protein_coding	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000450121	protein_coding	0	1	0	7	0	0	0	1	0	0	0	0	2	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000462050	processed_transcript	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000467818	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000472587	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000496783	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCG2	ENSG00000118777	ENST00000237612	protein_coding	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCG2	ENSG00000118777	ENST00000515655	protein_coding	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABHD12	ENSG00000100997	ENST00000339157	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000376542	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000465694	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000346832	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000355394	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000359188	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376134	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376137	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376138	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376139	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376140	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376142	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376160	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376166	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000376170	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000490841	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI1	ENSG00000136754	ENST00000536334	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000284322	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000383691	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000470336	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000471714	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000487012	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000495591	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000497021	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000318560	protein_coding	18	0	2	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	3	0	2	2	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0
ABL1	ENSG00000097007	ENST00000393293	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000344730	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000408940	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABL2	ENSG00000143322	ENST00000504324	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000504405	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABL2	ENSG00000143322	ENST00000508127	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000509520	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABL2	ENSG00000143322	ENST00000512653	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
AC002368.4	ENSG00000237741	ENST00000456981	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002398.11	ENSG00000267439	ENST00000585365	antisense	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002398.11	ENSG00000267439	ENST00000591091	antisense	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.12	ENSG00000267328	ENST00000587767	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002398.9	ENSG00000188223	ENST00000591613	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002456.2	ENSG00000223969	ENST00000412669	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002456.2	ENSG00000223969	ENST00000415965	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002456.2	ENSG00000223969	ENST00000441971	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002465.2	ENSG00000238202	ENST00000436097	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002553.4	ENSG00000233979	ENST00000453217	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003104.1	ENSG00000236194	ENST00000436061	sense_intronic	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AC003104.1	ENSG00000236194	ENST00000597755	sense_intronic	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AC003986.7	ENSG00000236536	ENST00000417460	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004257.3	ENSG00000270143	ENST00000602793	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004449.6	ENSG00000261204	ENST00000564240	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC004893.11	ENSG00000242687	ENST00000360902	antisense	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004893.11	ENSG00000242687	ENST00000468960	antisense	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004893.11	ENSG00000242687	ENST00000482799	antisense	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004906.3	ENSG00000237286	ENST00000423194	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004943.1	ENSG00000265573	ENST00000584072	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC005003.1	ENSG00000213888	ENST00000504184	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005027.3	ENSG00000236310	ENST00000416150	sense_overlapping	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005088.1	ENSG00000264642	ENST00000580604	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005262.2	ENSG00000267688	ENST00000585980	antisense	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005262.3	ENSG00000267139	ENST00000587701	antisense	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC005336.5	ENSG00000267218	ENST00000593183	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005356.1	ENSG00000262686	ENST00000576080	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005363.9	ENSG00000255513	ENST00000530779	transcribed_processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005592.2	ENSG00000231185	ENST00000414314	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005592.2	ENSG00000231185	ENST00000443800	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005631.1	ENSG00000221454	ENST00000408527	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005841.1	ENSG00000206044	ENST00000382678	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC005943.4	ENSG00000266926	ENST00000592406	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005943.5	ENSG00000267161	ENST00000588960	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006486.1	ENSG00000204957	ENST00000378108	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC006486.9	ENSG00000268643	ENST00000594664	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC006946.17	ENSG00000273442	ENST00000609791	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007216.2	ENSG00000269121	ENST00000597717	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007271.3	ENSG00000226925	ENST00000428188	antisense	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007292.3	ENSG00000269318	ENST00000593524	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007292.6	ENSG00000267980	ENST00000594444	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
